Wavelength,Transmission
4600.0,0.0003
4650.0,0.0052
4700.0,0.052
4750.0,0.2583
4800.0,0.6892
4850.0,1.108
4900.0,1.2956
4950.0,1.3277
5000.0,1.3243
5050.0,1.3273
5100.0,1.3386
5150.0,1.3572
5200.0,1.3827
5250.0,1.4144
5300.0,1.4506
5350.0,1.4918
5400.0,1.5366
5450.0,1.5831
5500.0,1.6326
5550.0,1.684
5600.0,1.7396
5650.0,1.7976
5700.0,1.8571
5750.0,1.9168
5800.0,1.9751
5850.0,2.0308
5900.0,2.0826
5950.0,2.1289
6000.0,2.1685
6050.0,2.1981
6100.0,2.2237
6150.0,2.2439
6200.0,2.2607
6250.0,2.2756
6300.0,2.2924
6350.0,2.3062
6400.0,2.3169
6450.0,2.3247
6500.0,2.3291
6550.0,2.33
6600.0,2.3263
6650.0,2.3226
6700.0,2.317
6750.0,2.3124
6800.0,2.3136
6850.0,2.315
6900.0,2.3167
6950.0,2.3175
7000.0,2.3169
7050.0,2.3121
7100.0,2.306
7150.0,2.2999
7200.0,2.295
7250.0,2.2927
7300.0,2.2912
7350.0,2.2861
7400.0,2.2666
7450.0,2.1979
7500.0,2.0147
7550.0,1.6705
7600.0,1.1868
7650.0,0.6909
7700.0,0.3182
7750.0,0.1131
7800.0,0.0304
7850.0,0.0061
7900.0,0.0009
7950.0,0.0001
