Wavelength,Transmission
13200.0,0.0003
13250.0,0.0009
13300.0,0.0028
13350.0,0.0076
13400.0,0.0189
13450.0,0.043
13500.0,0.0901
13550.0,0.1733
13600.0,0.3074
13650.0,0.5037
13700.0,0.7654
13750.0,1.0825
13800.0,1.4311
13850.0,1.7816
13900.0,2.1002
13950.0,2.3636
14000.0,2.5617
14050.0,2.696
14100.0,2.7789
14150.0,2.8255
14200.0,2.8505
14250.0,2.8644
14300.0,2.8702
14350.0,2.8739
14400.0,2.8746
14450.0,2.8735
14500.0,2.8742
14550.0,2.8755
14600.0,2.8764
14650.0,2.877
14700.0,2.8776
14750.0,2.8792
14800.0,2.8792
14850.0,2.8808
14900.0,2.8812
14950.0,2.8831
15000.0,2.8837
15050.0,2.8841
15100.0,2.8863
15150.0,2.8878
15200.0,2.8894
15250.0,2.892
15300.0,2.8928
15350.0,2.8954
15400.0,2.898
15450.0,2.8999
15500.0,2.9019
15550.0,2.9034
15600.0,2.9049
15650.0,2.9058
15700.0,2.9081
15750.0,2.9092
15800.0,2.9104
15850.0,2.9125
15900.0,2.915
15950.0,2.9182
16000.0,2.9222
16050.0,2.9261
16100.0,2.9304
16150.0,2.9342
16200.0,2.9383
16250.0,2.9439
16300.0,2.9496
16350.0,2.9537
16400.0,2.9576
16450.0,2.9612
16500.0,2.9645
16550.0,2.9686
16600.0,2.9705
16650.0,2.9739
16700.0,2.977
16750.0,2.9784
16800.0,2.9797
16850.0,2.9823
16900.0,2.9834
16950.0,2.9842
17000.0,2.9867
17050.0,2.9887
17100.0,2.9898
17150.0,2.9882
17200.0,2.9844
17250.0,2.9728
17300.0,2.9506
17350.0,2.9131
17400.0,2.8528
17450.0,2.7614
17500.0,2.6346
17550.0,2.4642
17600.0,2.2535
17650.0,2.0045
17700.0,1.7289
17750.0,1.4407
17800.0,1.1564
17850.0,0.8922
17900.0,0.6592
17950.0,0.4659
18000.0,0.3142
18050.0,0.2021
18100.0,0.1238
18150.0,0.0721
18200.0,0.0399
18250.0,0.021
18300.0,0.0105
18350.0,0.0049
18400.0,0.0022
18450.0,0.0009
18500.0,0.0004
