Wavelength,Transmission
7250.0,0.0001
7300.0,0.0009
7350.0,0.0057
7400.0,0.0282
7450.0,0.1058
7500.0,0.3024
7550.0,0.6726
7600.0,1.1868
7650.0,1.7157
7700.0,2.1195
7750.0,2.3496
7800.0,2.443
7850.0,2.4721
7900.0,2.4787
7950.0,2.4807
8000.0,2.484
8050.0,2.4948
8100.0,2.5075
8150.0,2.5209
8200.0,2.5345
8250.0,2.5484
8300.0,2.5569
8350.0,2.5638
8400.0,2.5721
8450.0,2.5809
8500.0,2.5932
8550.0,2.6103
8600.0,2.6284
8650.0,2.6491
8700.0,2.6675
8750.0,2.6873
8800.0,2.7067
8850.0,2.7256
8900.0,2.7435
8950.0,2.7585
9000.0,2.7714
9050.0,2.7844
9100.0,2.7957
9150.0,2.8053
9200.0,2.8127
9250.0,2.8162
9300.0,2.8178
9350.0,2.8184
9400.0,2.8143
9450.0,2.8058
9500.0,2.7839
9550.0,2.7306
9600.0,2.6134
9650.0,2.3904
9700.0,2.0438
9750.0,1.5926
9800.0,1.1083
9850.0,0.6759
9900.0,0.3564
9950.0,0.1609
10000.0,0.0617
10050.0,0.02
10100.0,0.0054
10150.0,0.0012
10200.0,0.0002
