Wavelength,Transmission
16100.0,0.0003
16150.0,0.0008
16200.0,0.0019
16250.0,0.0045
16300.0,0.0099
16350.0,0.0205
16400.0,0.0403
16450.0,0.0746
16500.0,0.1304
16550.0,0.2158
16600.0,0.3381
16650.0,0.5026
16700.0,0.71
16750.0,0.9548
16800.0,1.2262
16850.0,1.5092
16900.0,1.7846
16950.0,2.0365
17000.0,2.2542
17050.0,2.43
17100.0,2.5634
17150.0,2.6581
17200.0,2.7229
17250.0,2.763
17300.0,2.7869
17350.0,2.8011
17400.0,2.8089
17450.0,2.8122
17500.0,2.815
17550.0,2.814
17600.0,2.8138
17650.0,2.8115
17700.0,2.8087
17750.0,2.8059
17800.0,2.803
17850.0,2.8017
17900.0,2.7991
17950.0,2.797
18000.0,2.7941
18050.0,2.7923
18100.0,2.7928
18150.0,2.7914
18200.0,2.7931
18250.0,2.7944
18300.0,2.796
18350.0,2.7976
18400.0,2.7993
18450.0,2.801
18500.0,2.8026
18550.0,2.804
18600.0,2.8055
18650.0,2.8084
18700.0,2.8097
18750.0,2.8123
18800.0,2.8134
18850.0,2.8142
18900.0,2.8134
18950.0,2.8137
19000.0,2.8137
19050.0,2.813
19100.0,2.8133
19150.0,2.8118
19200.0,2.8098
19250.0,2.8084
19300.0,2.8045
19350.0,2.8002
19400.0,2.7927
19450.0,2.7826
19500.0,2.7632
19550.0,2.7329
19600.0,2.6857
19650.0,2.6175
19700.0,2.5261
19750.0,2.4047
19800.0,2.253
19850.0,2.0715
19900.0,1.864
19950.0,1.6371
20000.0,1.4006
20050.0,1.1635
20100.0,0.937
20150.0,0.7304
20200.0,0.5501
20250.0,0.3998
20300.0,0.2801
20350.0,0.189
20400.0,0.1227
20450.0,0.0765
20500.0,0.0459
20550.0,0.0264
20600.0,0.0146
20650.0,0.0077
20700.0,0.0039
20750.0,0.0019
20800.0,0.0009
20850.0,0.0004
