Wavelength,Transmission
18650.0,0.0003
18700.0,0.0006
18750.0,0.0014
18800.0,0.003
18850.0,0.0062
18900.0,0.0121
18950.0,0.0225
19000.0,0.0401
19050.0,0.0685
19100.0,0.1122
19150.0,0.1761
19200.0,0.2653
19250.0,0.3843
19300.0,0.535
19350.0,0.7176
19400.0,0.9283
19450.0,1.161
19500.0,1.4046
19550.0,1.6484
19600.0,1.8799
19650.0,2.0895
19700.0,2.2722
19750.0,2.4218
19800.0,2.5392
19850.0,2.6271
19900.0,2.6898
19950.0,2.7324
20000.0,2.7612
20050.0,2.7781
20100.0,2.788
20150.0,2.7935
20200.0,2.7965
20250.0,2.7981
20300.0,2.799
20350.0,2.8013
20400.0,2.8017
20450.0,2.8024
20500.0,2.8031
20550.0,2.8053
20600.0,2.8059
20650.0,2.8083
20700.0,2.8092
20750.0,2.8104
20800.0,2.813
20850.0,2.8144
20900.0,2.816
20950.0,2.8177
21000.0,2.8195
21050.0,2.8219
21100.0,2.8245
21150.0,2.828
21200.0,2.8315
21250.0,2.8327
21300.0,2.8369
21350.0,2.8393
21400.0,2.8414
21450.0,2.8448
21500.0,2.8459
21550.0,2.8465
21600.0,2.8467
21650.0,2.8473
21700.0,2.8474
21750.0,2.8466
21800.0,2.8454
21850.0,2.844
21900.0,2.8424
21950.0,2.8422
22000.0,2.8413
22050.0,2.8407
22100.0,2.8378
22150.0,2.8335
22200.0,2.8299
22250.0,2.8224
22300.0,2.8143
22350.0,2.8026
22400.0,2.7872
22450.0,2.764
22500.0,2.731
22550.0,2.6875
22600.0,2.6252
22650.0,2.5455
22700.0,2.4441
22750.0,2.3195
22800.0,2.1715
22850.0,2.0015
22900.0,1.813
22950.0,1.6109
23000.0,1.4027
23050.0,1.1936
23100.0,0.9932
23150.0,0.8058
23200.0,0.6367
23250.0,0.49
23300.0,0.367
23350.0,0.2668
23400.0,0.1886
23450.0,0.1294
23500.0,0.086
23550.0,0.0555
23600.0,0.0347
23650.0,0.021
23700.0,0.0123
23750.0,0.007
23800.0,0.0039
23850.0,0.0021
23900.0,0.0011
23950.0,0.0005
