Wavelength,Transmission
3630.0,0.899486
3631.0,0.899486
3632.0,0.899486
3633.0,0.899486
3634.0,0.899486
3635.0,0.899486
3636.0,0.899486
3637.0,0.899486
3638.0,0.899486
3639.0,0.899486
3640.0,0.899486
3641.0,0.899486
3642.0,0.899486
3643.0,0.899486
3644.0,0.899486
3645.0,0.899486
3646.0,0.899486
3647.0,0.899486
3648.0,0.899486
3649.0,0.899486
3650.0,0.899486
3651.0,0.899486
3652.0,0.899486
3653.0,0.899486
3654.0,0.899486
3655.0,0.899486
3656.0,0.899486
3657.0,0.899486
3658.0,0.899486
3659.0,0.899486
3660.0,0.899486
3661.0,0.899486
3662.0,0.899486
3663.0,0.899486
3664.0,0.899486
3665.0,0.899486
3666.0,0.899486
3667.0,0.899486
3668.0,0.899486
3669.0,0.899486
3670.0,0.899486
3671.0,0.899486
3672.0,0.899486
3673.0,0.899486
3674.0,0.899486
3675.0,0.899486
3676.0,0.899486
3677.0,0.899486
3678.0,0.899486
3679.0,0.899486
3680.0,0.899486
3681.0,0.899486
3682.0,0.899486
3683.0,0.899486
3684.0,0.899486
3685.0,0.899486
3686.0,0.899486
3687.0,0.899486
3688.0,0.899486
3689.0,0.899486
3690.0,0.899486
3691.0,0.899486
3692.0,0.899486
3693.0,0.899486
3694.0,0.899486
3695.0,0.899486
3696.0,0.899486
3697.0,0.899486
3698.0,0.899486
3699.0,0.899486
3700.0,0.899486
3701.0,0.899486
3702.0,0.899486
3703.0,0.899486
3704.0,0.899486
3705.0,0.899486
3706.0,0.899486
3707.0,0.899486
3708.0,0.899486
3709.0,0.899486
3710.0,0.899486
3711.0,0.899486
3712.0,0.899486
3713.0,0.899486
3714.0,0.899486
3715.0,0.899486
3716.0,0.899486
3717.0,0.899486
3718.0,0.899486
3719.0,0.899486
3720.0,0.899486
3721.0,0.899486
3722.0,0.899486
3723.0,0.899486
3724.0,0.899486
3725.0,0.899486
3726.0,0.899486
3727.0,0.899486
3728.0,0.899486
3729.0,0.899486
3730.0,0.899486
3731.0,0.899486
3732.0,0.899486
3733.0,0.899486
3734.0,0.899486
3735.0,0.899486
3736.0,0.899486
3737.0,0.899486
3738.0,0.899486
3739.0,0.899486
3740.0,0.899486
3741.0,0.899486
3742.0,0.899486
3743.0,0.899486
3744.0,0.899486
3745.0,0.899486
3746.0,0.899486
3747.0,0.899486
3748.0,0.899486
3749.0,0.899486
3750.0,0.899486
3751.0,0.899486
3752.0,0.899486
3753.0,0.899486
3754.0,0.899486
3755.0,0.899486
3756.0,0.899486
3757.0,0.899486
3758.0,0.899486
3759.0,0.899486
3760.0,0.899486
3761.0,0.899486
3762.0,0.899486
3763.0,0.899486
3764.0,0.899486
3765.0,0.899486
3766.0,0.899486
3767.0,0.899486
3768.0,0.899486
3769.0,0.899486
3770.0,0.899486
3771.0,0.899486
3772.0,0.899486
3773.0,0.899486
3774.0,0.899486
3775.0,0.899486
3776.0,0.899486
3777.0,0.899486
3778.0,0.899486
3779.0,0.899486
3780.0,0.899486
3781.0,0.899486
3782.0,0.899486
3783.0,0.899486
3784.0,0.899486
3785.0,0.899486
3786.0,0.899486
3787.0,0.899486
3788.0,0.899486
3789.0,0.899486
3790.0,0.899486
3791.0,0.899486
3792.0,0.899486
3793.0,0.898151
3794.0,0.896817
3795.0,0.894988
3796.0,0.89316
3797.0,0.891381
3798.0,0.889601
3799.0,0.887822
3800.0,0.886043
3801.0,0.884214
3802.0,0.882386
3803.0,0.880607
3804.0,0.878827
3805.0,0.876999
3806.0,0.87517
3807.0,0.873391
3808.0,0.871612
3809.0,0.869832
3810.0,0.868053
3811.0,0.866225
3812.0,0.864396
3813.0,0.862617
3814.0,0.860838
3815.0,0.859009
3816.0,0.85718
3817.0,0.855401
3818.0,0.853622
3819.0,0.851843
3820.0,0.850064
3821.0,0.848235
3822.0,0.846406
3823.0,0.844627
3824.0,0.842848
3825.0,0.841019
3826.0,0.839191
3827.0,0.836967
3828.0,0.834743
3829.0,0.831135
3830.0,0.827527
3831.0,0.823919
3832.0,0.820311
3833.0,0.816703
3834.0,0.813096
3835.0,0.809537
3836.0,0.805979
3837.0,0.802371
3838.0,0.798763
3839.0,0.795155
3840.0,0.791548
3841.0,0.78794
3842.0,0.784332
3843.0,0.780724
3844.0,0.777116
3845.0,0.773558
3846.0,0.769999
3847.0,0.766392
3848.0,0.762784
3849.0,0.759176
3850.0,0.755568
3851.0,0.75196
3852.0,0.748352
3853.0,0.744745
3854.0,0.741137
3855.0,0.737578
3856.0,0.73402
3857.0,0.730412
3858.0,0.726804
3859.0,0.723196
3860.0,0.719589
3861.0,0.715981
3862.0,0.712373
3863.0,0.708765
3864.0,0.705157
3865.0,0.701599
3866.0,0.698041
3867.0,0.694433
3868.0,0.690825
3869.0,0.687217
3870.0,0.683609
3871.0,0.680001
3872.0,0.676394
3873.0,0.672786
3874.0,0.669178
3875.0,0.66562
3876.0,0.662061
3877.0,0.658453
3878.0,0.654845
3879.0,0.651238
3880.0,0.64763
3881.0,0.644022
3882.0,0.640414
3883.0,0.636806
3884.0,0.633198
3885.0,0.62964
3886.0,0.626082
3887.0,0.622474
3888.0,0.618866
3889.0,0.615258
3890.0,0.61165
3891.0,0.608043
3892.0,0.604435
3893.0,0.600827
3894.0,0.597219
3895.0,0.593661
3896.0,0.590102
3897.0,0.586494
3898.0,0.582887
3899.0,0.579279
3900.0,0.575671
3901.0,0.572063
3902.0,0.568455
3903.0,0.564847
3904.0,0.56124
3905.0,0.557681
3906.0,0.554123
3907.0,0.550515
3908.0,0.546907
3909.0,0.543299
3910.0,0.539692
3911.0,0.536084
3912.0,0.532476
3913.0,0.528868
3914.0,0.52526
3915.0,0.521702
3916.0,0.518143
3917.0,0.514536
3918.0,0.510928
3919.0,0.50732
3920.0,0.503712
3921.0,0.500104
3922.0,0.496496
3923.0,0.492889
3924.0,0.489281
3925.0,0.485722
3926.0,0.482164
3927.0,0.478556
3928.0,0.474948
3929.0,0.47134
3930.0,0.467733
3931.0,0.464125
3932.0,0.460517
3933.0,0.456909
3934.0,0.453301
3935.0,0.449743
3936.0,0.446185
3937.0,0.442577
3938.0,0.438969
3939.0,0.435361
3940.0,0.431753
3941.0,0.428145
3942.0,0.424538
3943.0,0.42093
3944.0,0.417322
3945.0,0.413763
3946.0,0.410205
3947.0,0.406597
3948.0,0.402989
3949.0,0.399382
3950.0,0.395774
3951.0,0.392166
3952.0,0.388558
3953.0,0.38495
3954.0,0.381342
3955.0,0.377784
3956.0,0.374226
3957.0,0.370618
3958.0,0.36701
3959.0,0.363402
3960.0,0.359794
3961.0,0.356187
3962.0,0.352579
3963.0,0.348971
3964.0,0.345363
3965.0,0.341805
3966.0,0.338246
3967.0,0.334638
3968.0,0.331031
3969.0,0.327423
3970.0,0.323815
3971.0,0.320207
3972.0,0.316599
3973.0,0.312991
3974.0,0.309384
3975.0,0.305825
3976.0,0.302267
3977.0,0.298659
3978.0,0.295051
3979.0,0.291443
3980.0,0.287835
3981.0,0.284228
3982.0,0.28062
3983.0,0.277012
3984.0,0.273404
3985.0,0.269846
3986.0,0.266287
3987.0,0.26268
3988.0,0.259072
3989.0,0.255464
3990.0,0.251856
3991.0,0.248248
3992.0,0.24464
3993.0,0.241033
3994.0,0.237425
3995.0,0.233866
3996.0,0.230308
3997.0,0.2267
3998.0,0.223092
3999.0,0.219484
4000.0,0.215877
4001.0,0.212269
4002.0,0.208661
4003.0,0.205053
4004.0,0.201445
4005.0,0.197887
4006.0,0.194328
4007.0,0.190721
4008.0,0.187113
4009.0,0.183505
4010.0,0.179897
4011.0,0.176289
4012.0,0.172682
4013.0,0.169074
4014.0,0.165466
4015.0,0.161907
4016.0,0.158349
4017.0,0.154741
4018.0,0.151133
4019.0,0.147526
4020.0,0.143918
4021.0,0.14031
4022.0,0.136702
4023.0,0.133094
4024.0,0.129486
4025.0,0.125928
4026.0,0.12237
4027.0,0.118762
4028.0,0.115154
4029.0,0.111546
4030.0,0.107938
4031.0,0.10433
4032.0,0.100723
4033.0,0.0971148
4034.0,0.093507
4035.0,0.0908382
4036.0,0.0881694
4037.0,0.0863408
4038.0,0.0845121
4039.0,0.0827329
4040.0,0.0809537
4041.0,0.0791745
4042.0,0.0773953
4043.0,0.0755667
4044.0,0.0737381
4045.0,0.0719589
4046.0,0.0701797
4047.0,0.068351
4048.0,0.0665224
4049.0,0.0647432
4050.0,0.062964
4051.0,0.0611848
4052.0,0.0594056
4053.0,0.057577
4054.0,0.0557484
4055.0,0.0539692
4056.0,0.0521899
4057.0,0.0503613
4058.0,0.0485327
4059.0,0.0467535
4060.0,0.0449743
4061.0,0.0431951
4062.0,0.0414159
4063.0,0.0395873
4064.0,0.0377586
4065.0,0.0359794
4066.0,0.0342002
4067.0,0.0323716
4068.0,0.030543
4069.0,0.0287638
4070.0,0.0269846
4071.0,0.0252054
4072.0,0.0234262
4073.0,0.0215975
4074.0,0.0197689
4075.0,0.0179897
4076.0,0.0162105
4077.0,0.0143819
4078.0,0.0125533
4079.0,0.0107741
4080.0,0.00899486
4081.0,0.00721566
4082.0,0.00543645
4083.0,0.00360783
4084.0,0.0017792
4085.0,0.000889601
