Wavelength,Transmission
3500.0,0.0
3600.0,0.0022
3700.0,0.0593
3800.0,0.2351
3900.0,0.4159
4000.0,0.4691
4100.0,0.3896
4200.0,0.216
4300.0,0.1124
4400.0,0.0499
4500.0,0.0197
4600.0,0.0074
4700.0,0.0035
4800.0,0.0
